name	started_utc	command
pd1_loo_neglog_s11	2026-08-07T15:08:52Z	bo_experiment --benchmark pd1_loo --pd1-source full --pd1-group all   --n-iters 50 --n-seeds 5 --n-init 3 --per-task-standardize   --meta-subsample 64 --meta-task-batch 5   --hyperbo-iters 50000 --pacoh-iters 10000 --ablr-iters 10000 --pacoh-particles 10   --threads 3 --methods em_frozen,em_noisefit,em_finetuned,hyperbo_frozen,hyperbo_adapt,pacoh_frozen,ablr,vanilla_gp,random --output-warp neglog --loo-shard 11/12
pd1_loo_none_s0	2026-08-07T15:08:52Z	bo_experiment --benchmark pd1_loo --pd1-source full --pd1-group all   --n-iters 50 --n-seeds 5 --n-init 3 --per-task-standardize   --meta-subsample 64 --meta-task-batch 5   --hyperbo-iters 50000 --pacoh-iters 10000 --ablr-iters 10000 --pacoh-particles 10   --threads 3 --methods em_frozen,em_noisefit,em_finetuned,hyperbo_frozen,hyperbo_adapt,pacoh_frozen,ablr,vanilla_gp,random --output-warp none --loo-shard 0/12
pd1_loo_none_s1	2026-08-07T15:08:52Z	bo_experiment --benchmark pd1_loo --pd1-source full --pd1-group all   --n-iters 50 --n-seeds 5 --n-init 3 --per-task-standardize   --meta-subsample 64 --meta-task-batch 5   --hyperbo-iters 50000 --pacoh-iters 10000 --ablr-iters 10000 --pacoh-particles 10   --threads 3 --methods em_frozen,em_noisefit,em_finetuned,hyperbo_frozen,hyperbo_adapt,pacoh_frozen,ablr,vanilla_gp,random --output-warp none --loo-shard 1/12
pd1_loo_none_s2	2026-08-07T15:08:52Z	bo_experiment --benchmark pd1_loo --pd1-source full --pd1-group all   --n-iters 50 --n-seeds 5 --n-init 3 --per-task-standardize   --meta-subsample 64 --meta-task-batch 5   --hyperbo-iters 50000 --pacoh-iters 10000 --ablr-iters 10000 --pacoh-particles 10   --threads 3 --methods em_frozen,em_noisefit,em_finetuned,hyperbo_frozen,hyperbo_adapt,pacoh_frozen,ablr,vanilla_gp,random --output-warp none --loo-shard 2/12
pd1_loo_none_s3	2026-08-07T15:08:52Z	bo_experiment --benchmark pd1_loo --pd1-source full --pd1-group all   --n-iters 50 --n-seeds 5 --n-init 3 --per-task-standardize   --meta-subsample 64 --meta-task-batch 5   --hyperbo-iters 50000 --pacoh-iters 10000 --ablr-iters 10000 --pacoh-particles 10   --threads 3 --methods em_frozen,em_noisefit,em_finetuned,hyperbo_frozen,hyperbo_adapt,pacoh_frozen,ablr,vanilla_gp,random --output-warp none --loo-shard 3/12
pd1_loo_none_s4	2026-08-07T15:08:52Z	bo_experiment --benchmark pd1_loo --pd1-source full --pd1-group all   --n-iters 50 --n-seeds 5 --n-init 3 --per-task-standardize   --meta-subsample 64 --meta-task-batch 5   --hyperbo-iters 50000 --pacoh-iters 10000 --ablr-iters 10000 --pacoh-particles 10   --threads 3 --methods em_frozen,em_noisefit,em_finetuned,hyperbo_frozen,hyperbo_adapt,pacoh_frozen,ablr,vanilla_gp,random --output-warp none --loo-shard 4/12
pd1_loo_none_s5	2026-08-07T15:08:52Z	bo_experiment --benchmark pd1_loo --pd1-source full --pd1-group all   --n-iters 50 --n-seeds 5 --n-init 3 --per-task-standardize   --meta-subsample 64 --meta-task-batch 5   --hyperbo-iters 50000 --pacoh-iters 10000 --ablr-iters 10000 --pacoh-particles 10   --threads 3 --methods em_frozen,em_noisefit,em_finetuned,hyperbo_frozen,hyperbo_adapt,pacoh_frozen,ablr,vanilla_gp,random --output-warp none --loo-shard 5/12
pd1_loo_none_s6	2026-08-07T15:08:52Z	bo_experiment --benchmark pd1_loo --pd1-source full --pd1-group all   --n-iters 50 --n-seeds 5 --n-init 3 --per-task-standardize   --meta-subsample 64 --meta-task-batch 5   --hyperbo-iters 50000 --pacoh-iters 10000 --ablr-iters 10000 --pacoh-particles 10   --threads 3 --methods em_frozen,em_noisefit,em_finetuned,hyperbo_frozen,hyperbo_adapt,pacoh_frozen,ablr,vanilla_gp,random --output-warp none --loo-shard 6/12
pd1_loo_none_s7	2026-08-07T15:08:52Z	bo_experiment --benchmark pd1_loo --pd1-source full --pd1-group all   --n-iters 50 --n-seeds 5 --n-init 3 --per-task-standardize   --meta-subsample 64 --meta-task-batch 5   --hyperbo-iters 50000 --pacoh-iters 10000 --ablr-iters 10000 --pacoh-particles 10   --threads 3 --methods em_frozen,em_noisefit,em_finetuned,hyperbo_frozen,hyperbo_adapt,pacoh_frozen,ablr,vanilla_gp,random --output-warp none --loo-shard 7/12
pd1_loo_none_s8	2026-08-07T15:08:52Z	bo_experiment --benchmark pd1_loo --pd1-source full --pd1-group all   --n-iters 50 --n-seeds 5 --n-init 3 --per-task-standardize   --meta-subsample 64 --meta-task-batch 5   --hyperbo-iters 50000 --pacoh-iters 10000 --ablr-iters 10000 --pacoh-particles 10   --threads 3 --methods em_frozen,em_noisefit,em_finetuned,hyperbo_frozen,hyperbo_adapt,pacoh_frozen,ablr,vanilla_gp,random --output-warp none --loo-shard 8/12
pd1_loo_none_s9	2026-08-07T15:08:52Z	bo_experiment --benchmark pd1_loo --pd1-source full --pd1-group all   --n-iters 50 --n-seeds 5 --n-init 3 --per-task-standardize   --meta-subsample 64 --meta-task-batch 5   --hyperbo-iters 50000 --pacoh-iters 10000 --ablr-iters 10000 --pacoh-particles 10   --threads 3 --methods em_frozen,em_noisefit,em_finetuned,hyperbo_frozen,hyperbo_adapt,pacoh_frozen,ablr,vanilla_gp,random --output-warp none --loo-shard 9/12
pd1_loo_none_s10	2026-08-07T15:08:52Z	bo_experiment --benchmark pd1_loo --pd1-source full --pd1-group all   --n-iters 50 --n-seeds 5 --n-init 3 --per-task-standardize   --meta-subsample 64 --meta-task-batch 5   --hyperbo-iters 50000 --pacoh-iters 10000 --ablr-iters 10000 --pacoh-particles 10   --threads 3 --methods em_frozen,em_noisefit,em_finetuned,hyperbo_frozen,hyperbo_adapt,pacoh_frozen,ablr,vanilla_gp,random --output-warp none --loo-shard 10/12
pd1_loo_none_s11	2026-08-07T15:08:52Z	bo_experiment --benchmark pd1_loo --pd1-source full --pd1-group all   --n-iters 50 --n-seeds 5 --n-init 3 --per-task-standardize   --meta-subsample 64 --meta-task-batch 5   --hyperbo-iters 50000 --pacoh-iters 10000 --ablr-iters 10000 --pacoh-particles 10   --threads 3 --methods em_frozen,em_noisefit,em_finetuned,hyperbo_frozen,hyperbo_adapt,pacoh_frozen,ablr,vanilla_gp,random --output-warp none --loo-shard 11/12
hbdebug_nll_2000	2026-08-07T18:59:38Z	bo_experiment --n-configs 300 --n-iters 40 --n-eval 12 --n-seeds 16 --n-pretrain 25   --split-seed 42 --meta-subsample 64 --meta-task-batch 5 --meta-iters 2000   --ablr-iters 10000 --threads 6 --methods hyperbo_frozen,hyperbo_adapt,ablr,em_frozen,random --hyperbo-iters 2000
hbdebug_nll_5000	2026-08-07T18:59:38Z	bo_experiment --n-configs 300 --n-iters 40 --n-eval 12 --n-seeds 16 --n-pretrain 25   --split-seed 42 --meta-subsample 64 --meta-task-batch 5 --meta-iters 2000   --ablr-iters 10000 --threads 6 --methods hyperbo_frozen,hyperbo_adapt,ablr,em_frozen,random --hyperbo-iters 5000
hbdebug_nll_10000	2026-08-07T18:59:38Z	bo_experiment --n-configs 300 --n-iters 40 --n-eval 12 --n-seeds 16 --n-pretrain 25   --split-seed 42 --meta-subsample 64 --meta-task-batch 5 --meta-iters 2000   --ablr-iters 10000 --threads 6 --methods hyperbo_frozen,hyperbo_adapt,ablr,em_frozen,random --hyperbo-iters 10000
hbdebug_nll_25000	2026-08-07T18:59:38Z	bo_experiment --n-configs 300 --n-iters 40 --n-eval 12 --n-seeds 16 --n-pretrain 25   --split-seed 42 --meta-subsample 64 --meta-task-batch 5 --meta-iters 2000   --ablr-iters 10000 --threads 6 --methods hyperbo_frozen,hyperbo_adapt,ablr,em_frozen,random --hyperbo-iters 25000
hbdebug_nll_50000	2026-08-07T18:59:38Z	bo_experiment --n-configs 300 --n-iters 40 --n-eval 12 --n-seeds 16 --n-pretrain 25   --split-seed 42 --meta-subsample 64 --meta-task-batch 5 --meta-iters 2000   --ablr-iters 10000 --threads 6 --methods hyperbo_frozen,hyperbo_adapt,ablr,em_frozen,random --hyperbo-iters 50000
hbdebug_zeromean_2000	2026-08-07T18:59:38Z	bo_experiment --n-configs 300 --n-iters 40 --n-eval 12 --n-seeds 16 --n-pretrain 25   --split-seed 42 --meta-subsample 64 --meta-task-batch 5 --meta-iters 2000   --ablr-iters 10000 --threads 6 --methods hyperbo_frozen,hyperbo_adapt,ablr,em_frozen,random --hyperbo-iters 2000 --hyperbo-zero-mean
hbdebug_zeromean_50000	2026-08-07T18:59:38Z	bo_experiment --n-configs 300 --n-iters 40 --n-eval 12 --n-seeds 16 --n-pretrain 25   --split-seed 42 --meta-subsample 64 --meta-task-batch 5 --meta-iters 2000   --ablr-iters 10000 --threads 6 --methods hyperbo_frozen,hyperbo_adapt,ablr,em_frozen,random --hyperbo-iters 50000 --hyperbo-zero-mean
pd1_loo_neglog_ekl_s0	2026-08-07T22:47:24Z	bo_experiment --benchmark pd1_loo --pd1-source full --pd1-group all   --n-iters 50 --n-seeds 5 --n-init 3 --per-task-standardize   --meta-subsample 64 --meta-task-batch 5   --hyperbo-loss EKL --ekl-optimizer lbfgs --ekl-lbfgs-iters 100   --hyperbo-iters 50000 --pacoh-iters 10000 --ablr-iters 10000 --pacoh-particles 10   --threads 3 --methods em_frozen,em_noisefit,em_finetuned,hyperbo_frozen,hyperbo_adapt,pacoh_frozen,ablr,vanilla_gp,random --output-warp neglog --loo-shard 0/12
pd1_loo_neglog_ekl_s1	2026-08-07T22:47:24Z	bo_experiment --benchmark pd1_loo --pd1-source full --pd1-group all   --n-iters 50 --n-seeds 5 --n-init 3 --per-task-standardize   --meta-subsample 64 --meta-task-batch 5   --hyperbo-loss EKL --ekl-optimizer lbfgs --ekl-lbfgs-iters 100   --hyperbo-iters 50000 --pacoh-iters 10000 --ablr-iters 10000 --pacoh-particles 10   --threads 3 --methods em_frozen,em_noisefit,em_finetuned,hyperbo_frozen,hyperbo_adapt,pacoh_frozen,ablr,vanilla_gp,random --output-warp neglog --loo-shard 1/12
pd1_loo_neglog_ekl_s2	2026-08-07T22:47:24Z	bo_experiment --benchmark pd1_loo --pd1-source full --pd1-group all   --n-iters 50 --n-seeds 5 --n-init 3 --per-task-standardize   --meta-subsample 64 --meta-task-batch 5   --hyperbo-loss EKL --ekl-optimizer lbfgs --ekl-lbfgs-iters 100   --hyperbo-iters 50000 --pacoh-iters 10000 --ablr-iters 10000 --pacoh-particles 10   --threads 3 --methods em_frozen,em_noisefit,em_finetuned,hyperbo_frozen,hyperbo_adapt,pacoh_frozen,ablr,vanilla_gp,random --output-warp neglog --loo-shard 2/12
pd1_loo_neglog_ekl_s3	2026-08-07T22:47:24Z	bo_experiment --benchmark pd1_loo --pd1-source full --pd1-group all   --n-iters 50 --n-seeds 5 --n-init 3 --per-task-standardize   --meta-subsample 64 --meta-task-batch 5   --hyperbo-loss EKL --ekl-optimizer lbfgs --ekl-lbfgs-iters 100   --hyperbo-iters 50000 --pacoh-iters 10000 --ablr-iters 10000 --pacoh-particles 10   --threads 3 --methods em_frozen,em_noisefit,em_finetuned,hyperbo_frozen,hyperbo_adapt,pacoh_frozen,ablr,vanilla_gp,random --output-warp neglog --loo-shard 3/12
pd1_loo_neglog_ekl_s4	2026-08-07T22:47:24Z	bo_experiment --benchmark pd1_loo --pd1-source full --pd1-group all   --n-iters 50 --n-seeds 5 --n-init 3 --per-task-standardize   --meta-subsample 64 --meta-task-batch 5   --hyperbo-loss EKL --ekl-optimizer lbfgs --ekl-lbfgs-iters 100   --hyperbo-iters 50000 --pacoh-iters 10000 --ablr-iters 10000 --pacoh-particles 10   --threads 3 --methods em_frozen,em_noisefit,em_finetuned,hyperbo_frozen,hyperbo_adapt,pacoh_frozen,ablr,vanilla_gp,random --output-warp neglog --loo-shard 4/12
pd1_loo_neglog_ekl_s5	2026-08-07T22:47:24Z	bo_experiment --benchmark pd1_loo --pd1-source full --pd1-group all   --n-iters 50 --n-seeds 5 --n-init 3 --per-task-standardize   --meta-subsample 64 --meta-task-batch 5   --hyperbo-loss EKL --ekl-optimizer lbfgs --ekl-lbfgs-iters 100   --hyperbo-iters 50000 --pacoh-iters 10000 --ablr-iters 10000 --pacoh-particles 10   --threads 3 --methods em_frozen,em_noisefit,em_finetuned,hyperbo_frozen,hyperbo_adapt,pacoh_frozen,ablr,vanilla_gp,random --output-warp neglog --loo-shard 5/12
pd1_loo_neglog_ekl_s6	2026-08-07T22:47:24Z	bo_experiment --benchmark pd1_loo --pd1-source full --pd1-group all   --n-iters 50 --n-seeds 5 --n-init 3 --per-task-standardize   --meta-subsample 64 --meta-task-batch 5   --hyperbo-loss EKL --ekl-optimizer lbfgs --ekl-lbfgs-iters 100   --hyperbo-iters 50000 --pacoh-iters 10000 --ablr-iters 10000 --pacoh-particles 10   --threads 3 --methods em_frozen,em_noisefit,em_finetuned,hyperbo_frozen,hyperbo_adapt,pacoh_frozen,ablr,vanilla_gp,random --output-warp neglog --loo-shard 6/12
pd1_loo_neglog_ekl_s7	2026-08-07T22:47:24Z	bo_experiment --benchmark pd1_loo --pd1-source full --pd1-group all   --n-iters 50 --n-seeds 5 --n-init 3 --per-task-standardize   --meta-subsample 64 --meta-task-batch 5   --hyperbo-loss EKL --ekl-optimizer lbfgs --ekl-lbfgs-iters 100   --hyperbo-iters 50000 --pacoh-iters 10000 --ablr-iters 10000 --pacoh-particles 10   --threads 3 --methods em_frozen,em_noisefit,em_finetuned,hyperbo_frozen,hyperbo_adapt,pacoh_frozen,ablr,vanilla_gp,random --output-warp neglog --loo-shard 7/12
pd1_loo_neglog_ekl_s8	2026-08-07T22:47:24Z	bo_experiment --benchmark pd1_loo --pd1-source full --pd1-group all   --n-iters 50 --n-seeds 5 --n-init 3 --per-task-standardize   --meta-subsample 64 --meta-task-batch 5   --hyperbo-loss EKL --ekl-optimizer lbfgs --ekl-lbfgs-iters 100   --hyperbo-iters 50000 --pacoh-iters 10000 --ablr-iters 10000 --pacoh-particles 10   --threads 3 --methods em_frozen,em_noisefit,em_finetuned,hyperbo_frozen,hyperbo_adapt,pacoh_frozen,ablr,vanilla_gp,random --output-warp neglog --loo-shard 8/12
pd1_loo_neglog_ekl_s9	2026-08-07T22:47:24Z	bo_experiment --benchmark pd1_loo --pd1-source full --pd1-group all   --n-iters 50 --n-seeds 5 --n-init 3 --per-task-standardize   --meta-subsample 64 --meta-task-batch 5   --hyperbo-loss EKL --ekl-optimizer lbfgs --ekl-lbfgs-iters 100   --hyperbo-iters 50000 --pacoh-iters 10000 --ablr-iters 10000 --pacoh-particles 10   --threads 3 --methods em_frozen,em_noisefit,em_finetuned,hyperbo_frozen,hyperbo_adapt,pacoh_frozen,ablr,vanilla_gp,random --output-warp neglog --loo-shard 9/12
pd1_loo_neglog_ekl_s10	2026-08-07T22:47:24Z	bo_experiment --benchmark pd1_loo --pd1-source full --pd1-group all   --n-iters 50 --n-seeds 5 --n-init 3 --per-task-standardize   --meta-subsample 64 --meta-task-batch 5   --hyperbo-loss EKL --ekl-optimizer lbfgs --ekl-lbfgs-iters 100   --hyperbo-iters 50000 --pacoh-iters 10000 --ablr-iters 10000 --pacoh-particles 10   --threads 3 --methods em_frozen,em_noisefit,em_finetuned,hyperbo_frozen,hyperbo_adapt,pacoh_frozen,ablr,vanilla_gp,random --output-warp neglog --loo-shard 10/12
pd1_loo_neglog_ekl_s11	2026-08-07T22:47:24Z	bo_experiment --benchmark pd1_loo --pd1-source full --pd1-group all   --n-iters 50 --n-seeds 5 --n-init 3 --per-task-standardize   --meta-subsample 64 --meta-task-batch 5   --hyperbo-loss EKL --ekl-optimizer lbfgs --ekl-lbfgs-iters 100   --hyperbo-iters 50000 --pacoh-iters 10000 --ablr-iters 10000 --pacoh-particles 10   --threads 3 --methods em_frozen,em_noisefit,em_finetuned,hyperbo_frozen,hyperbo_adapt,pacoh_frozen,ablr,vanilla_gp,random --output-warp neglog --loo-shard 11/12
rerun/headline_p0	2026-08-07T23:02:20Z	the build tool run @//mode/opt //pytorch/botorch/_scratch_bo:bo_experiment -- --n-configs 300 --n-iters 40 --n-eval 12 --n-seeds 16 --n-pretrain 25 --split-seed 42 --pretrain-seed 0 --hyperbo-iters 25000 --pacoh-iters 10000 --ablr-iters 10000 --ablr-per-task-precision --meta-subsample 64 --meta-task-batch 5 --meta-iters 2000 --methods em_frozen,em_finetuned,em_noisefit,hyperbo_frozen,hyperbo_adapt,pacoh_frozen,ablr,ablr_adapt,vanilla_gp,random
rerun/headline_p1	2026-08-07T23:02:20Z	the build tool run @//mode/opt //pytorch/botorch/_scratch_bo:bo_experiment -- --n-configs 300 --n-iters 40 --n-eval 12 --n-seeds 16 --n-pretrain 25 --split-seed 42 --pretrain-seed 1 --hyperbo-iters 25000 --pacoh-iters 10000 --ablr-iters 10000 --ablr-per-task-precision --meta-subsample 64 --meta-task-batch 5 --meta-iters 2000 --methods em_frozen,em_finetuned,em_noisefit,hyperbo_frozen,hyperbo_adapt,pacoh_frozen,ablr,ablr_adapt,vanilla_gp,random
rerun/headline_p2	2026-08-07T23:02:20Z	the build tool run @//mode/opt //pytorch/botorch/_scratch_bo:bo_experiment -- --n-configs 300 --n-iters 40 --n-eval 12 --n-seeds 16 --n-pretrain 25 --split-seed 42 --pretrain-seed 2 --hyperbo-iters 25000 --pacoh-iters 10000 --ablr-iters 10000 --ablr-per-task-precision --meta-subsample 64 --meta-task-batch 5 --meta-iters 2000 --methods em_frozen,em_finetuned,em_noisefit,hyperbo_frozen,hyperbo_adapt,pacoh_frozen,ablr,ablr_adapt,vanilla_gp,random
rerun/scaling_n2	2026-08-07T23:02:20Z	the build tool run @//mode/opt //pytorch/botorch/_scratch_bo:bo_experiment -- --n-configs 200 --n-iters 30 --n-eval 4 --n-seeds 6 --n-pretrain 2 --hyperbo-iters 25000 --pacoh-iters 10000 --ablr-iters 10000 --ablr-per-task-precision --meta-subsample 64 --meta-task-batch 5 --meta-iters 2000 --methods em_frozen,em_noisefit,hyperbo_frozen,hyperbo_adapt,ablr,pacoh_frozen,vanilla_gp,random
